x, y, value
437.021, 154.342, 1
415.251, 198.868, 1
370.751, 185.17, 1
650.045, 142.163, 0
423.514, 152.407, 1
557.778, 135.106, 1
649.203, 164.692, 1
622.897, 174.345, 1
481.843, 161.179, 1
89.6544, 98.7054, 1
649.049, 138.985, 0
364.264, 169.77, 1
435.39, 192.342, 1
81.7599, 168.28, 1
322.578, 225.071, 1
492.784, 170.529, 1
382.361, 203.063, 1
206.232, 165.619, 1
359.882, 184.594, 1
103.348, 67.1521, 1
650.045, 142.161, 0
537.896, 184.306, 1
521.123, 178.239, 1
203.742, 218.998, 1
111.179, 190.919, 1
623.263, 187.753, 1
112.635, 217.285, 1
158.423, 206.406, 1
536.71, 179.333, 1
321.383, 206.705, 1
203.74, 219.003, 1
454.868, 196.374, 1
481.635, 180.838, 1
288.859, 192.61, 1
372.154, 152.717, 1
196.018, 201.285, 1
189.548, 167.313, 1
103.386, 120.59, 1
101.821, 80.825, 1
521.625, 168.982, 1
101.348, 149.671, 1
112.658, 217.28, 1
88.2453, 71.9843, 1
70.2842, 85.6149, 1
89.6447, 98.6906, 1
162.311, 186.317, 1
97.583, 166.417, 1
81.2523, 153.339, 1
507.855, 174.525, 1
206.225, 165.645, 1
257.414, 191.342, 1
556.912, 174.255, 1
588.803, 175.719, 1
536.074, 140.353, 1
290.843, 208.104, 1
59.1992, 216.672, 1
141.173, 188.169, 1
230.336, 189.937, 1
621.945, 155.497, 1
79.084, 217.338, 1
84.9433, 194.113, 1
496.492, 192.822, 1
185.786, 187.521, 1
141.581, 212.415, 1
494.616, 183.762, 1
77.7615, 163.259, 1
205.962, 199.61, 1
569.188, 167.343, 1
95.0891, 146.423, 1
584.555, 147.468, 1
334.642, 191.832, 1
565.623, 146.614, 1
511.367, 185.243, 1
75.8784, 44.7132, 1
227.138, 152.48, 1
87.8998, 125.884, 1
250.818, 187.239, 1
285.186, 178.561, 1
500.22, 318.03, 0
155.632, 175.687, 1
446.309, 195.923, 1
54.5493, 190.482, 1
118.356, 178.08, 1
227.189, 174.189, 1
458.543, 168.581, 1
55.2548, 171.561, 1
61.1282, 150.044, 1
496.414, 137.399, 1
79.6944, 217.432, 1
214.671, 152.451, 1
103.388, 120.599, 1
97.6024, 166.385, 1
458.537, 168.553, 1
457.414, 155.617, 1
479.392, 194.526, 1
133.716, 201.185, 1
566.551, 146.973, 1
587.085, 175.531, 1
390.609, 164.445, 1
446.114, 138.51, 1
435.388, 192.343, 1
101.585, 100.796, 1
609.121, 149.713, 1
185.809, 187.518, 1
67.399, 166.839, 1
614.299, 334.695, 0
206.571, 186.053, 1
464.705, 135.029, 1
518.437, 139.392, 1
59.2119, 216.671, 1
74.8448, 179.201, 1
141.577, 212.424, 1
119.139, 201.127, 1
333.465, 175.554, 1
649.206, 164.685, 1
169.004, 139.166, 1
423.516, 152.403, 1
250.84, 187.182, 1
118.406, 162.309, 1
160.016, 153.159, 1
382.36, 203.061, 1
233.576, 220.294, 0
350.548, 226.844, 1
94.9133, 179.549, 1
73.4312, 133.403, 1
420.292, 319.303, 0
277.626, 208.282, 1
152.86, 165.736, 1
105.179, 179.782, 1
426.65, 97.0167, 1
553.542, 159.809, 1
145.525, 168.526, 1
411.889, 152.142, 1
