x, y, value
404.456, 138.014, 1
384.702, 182.971, 1
339.949, 172.376, 1
391.053, 136.353, 1
518.121, 116.922, 1
586.623, 148.814, 1
449.22, 142.715, 1
49.5875, 97.0556, 1
333.08, 157.152, 1
404.481, 175.69, 1
44.7362, 168.333, 1
293.582, 214.087, 1
460.179, 151.693, 1
352.516, 189.052, 1
173.611, 159.881, 1
328.634, 171.825, 1
61.5615, 65.0213, 1
504.273, 163.1, 1
487.781, 158.056, 1
172.822, 214.072, 1
76.4025, 189.879, 1
587.196, 162.14, 1
78.67, 216.511, 1
126.262, 203.688, 1
502.966, 158.293, 1
292.258, 195.739, 1
172.821, 214.076, 1
423.496, 178.67, 1
449.314, 162.097, 1
258.643, 183.29, 1
340.635, 139.23, 1
164.688, 196.521, 1
156.904, 162.407, 1
64.4426, 119.391, 1
60.4192, 78.7937, 1
488.216, 148.808, 1
64.0231, 149.012, 1
78.694, 216.504, 1
46.4902, 70.0154, 1
28.0253, 85.2766, 1
49.5759, 97.0379, 1
129.267, 183.138, 1
61.0411, 165.849, 1
43.5896, 153.4, 1
474.981, 154.837, 1
173.604, 159.904, 1
226.805, 183.642, 1
522.725, 152.124, 1
553.424, 152.183, 1
501.02, 119.518, 1
261.007, 198.986, 1
23.191, 218.57, 1
107.628, 186.111, 1
199.052, 183.459, 1
584.95, 130.552, 1
43.8273, 218.311, 1
49.1848, 193.939, 1
464.205, 173.214, 1
153.849, 183.229, 1
108.745, 210.221, 1
462.224, 164.363, 1
40.3243, 163.707, 1
174.715, 194.351, 1
534.391, 144.476, 1
57.5263, 145.807, 1
548.378, 124.294, 1
302.864, 180.409, 1
529.818, 124.331, 1
478.484, 165.16, 1
31.8909, 42.6838, 1
194.457, 146.145, 1
49.0607, 125.11, 1
220.078, 179.914, 1
254.667, 169.411, 1
611.236, 272.292, 0
121.97, 172.906, 1
415.241, 178.906, 1
17.4496, 191.915, 1
83.1423, 176.417, 1
194.938, 168.053, 1
426.388, 150.681, 1
17.162, 172.972, 1
21.8324, 150.61, 1
462.681, 118.474, 1
44.5212, 218.367, 1
181.979, 146.33, 1
64.4456, 119.402, 1
61.0616, 165.812, 1
426.376, 150.658, 1
425.037, 138.056, 1
447.514, 175.824, 1
100.384, 199.271, 1
530.776, 124.64, 1
551.697, 152.015, 1
359.161, 150.261, 1
413.377, 121.825, 1
404.479, 175.692, 1
61.6694, 99.1844, 1
572.161, 125.408, 1
153.872, 183.225, 1
29.7694, 167.636, 1
174.737, 180.664, 1
431.875, 117.464, 1
483.982, 119.385, 1
23.2083, 218.566, 1
38.0654, 179.611, 1
108.742, 210.232, 1
84.9592, 199.867, 1
301.709, 163.784, 1
134.49, 135.12, 1
391.056, 136.351, 1
220.111, 179.855, 1
82.0019, 160.493, 1
125.495, 149.735, 1
352.515, 189.049, 1
204.191, 213.902, 1
322.25, 214.453, 1
58.6999, 179.181, 1
34.4788, 133.34, 1
500.811, 271.04, 0
247.779, 199.526, 1
118.702, 163.128, 1
69.4941, 179.054, 1
393.663, 80.8071, 1
519.116, 137.827, 1
111.355, 166.073, 1
379.613, 136.606, 1
62.1651, 44.8699, 1
363.025, 137.214, 1
20.668, 204.918, 1
517.12, 121.693, 1
351.204, 137.448, 1
438.202, 166.952, 1
62.9946, 135.978, 1
504.911, 139.407, 1
32.5486, 54.2369, 1
589.436, 273.995, 0
468.493, 148.604, 1
78.6687, 216.511, 1
129.588, 216.728, 1
30.3609, 194.3, 1
173.606, 159.896, 1
287.327, 180.588, 1
558.738, 140.807, 1
164.661, 188.595, 1
207.029, 193.648, 1
522.744, 152.107, 1
310.405, 171.415, 1
204.192, 213.899, 1
33.1088, 122.183, 1
62.213, 212.635, 1
23.0263, 95.9471, 1
529.815, 124.331, 1
107.474, 155.256, 1
184.789, 198.529, 1
241.786, 213.939, 1
382.111, 160.334, 1
551.7, 152.021, 1
331.144, 119.104, 1
48.9463, 181.255, 1
480.024, 275.885, 0
248.792, 178.621, 1
490.883, 167.861, 1
234.593, 167.225, 1
134.494, 135.11, 1
449.11, 142.728, 1
15.8199, 86.1531, 1
97.2587, 188.405, 1
198.287, 202.863, 1
558.095, 212.729, 1
495.134, 54.4484, 1
447.625, 121.667, 1
64.4665, 119.488, 1
321.972, 154.135, 1
96.1104, 176.375, 1
61.186, 201.055, 1
542.257, 136.152, 1
199.007, 183.444, 1
435.054, 134.043, 1
94.7641, 217.386, 1
483.824, 44.6057, 1
266.636, 165.222, 1
256.154, 78.8171, 1
37.4099, 203.385, 1
481.475, 134.829, 1
23.4932, 120.406, 1
508.241, 49.2282, 1
281.337, 147.956, 1
328.264, 145.282, 1
197.935, 157.374, 1
571.405, 212.684, 1
113.406, 116.564, 1
389.989, 214.107, 1
413.748, 156.776, 1
566.51, 259.503, 0
531.989, 52.6279, 1
443.23, 66.0643, 1
322.251, 214.454, 1
471.386, 276.639, 0
21.796, 150.613, 1
302.833, 180.414, 1
220.311, 214.26, 1
564.755, 158.791, 1
109.598, 103.878, 1
265.25, 150.782, 1
150.97, 138.77, 1
519.26, 165.073, 1
397.515, 81.3435, 1
497.882, 273.03, 0
15.0794, 105.37, 1
425.05, 162.352, 1
270.581, 178.899, 1
224.004, 196.141, 1
216.81, 136.22, 1
267.465, 204.067, 1
156.075, 214.832, 1
239.375, 146.096, 1
382.699, 244.83, 0
172.822, 214.079, 1
282.459, 138.043, 1
480.314, 213.307, 1
108.45, 132.842, 1
423.833, 214.017, 1
204.192, 213.904, 1
391.059, 136.349, 1
486.476, 143.27, 1
590.857, 283.352, 0
509.172, 61.8821, 1
41.89, 80.094, 1
583.691, 284.195, 0
276.57, 163.743, 1
239.347, 146.09, 0
628.655, 261.361, 0
576.332, 155.315, 1
272.155, 78.3334, 1
282.47, 138.04, 1
460.983, 133.599, 1
480.168, 277.245, 0
376.606, 168.693, 1
447.574, 191.643, 1
561.719, 276.158, 0
514.305, 63.596, 1
331.278, 121.953, 1
495.102, 213.518, 1
383.684, 147.493, 1
185.275, 176.122, 1
239.359, 146.109, 1
500.943, 274.631, 0
471.02, 274.579, 0
528.372, 212.949, 1
606.729, 211.947, 1
456.055, 213.675, 1
365.416, 166.029, 1
209.762, 150.055, 1
58.9654, 190.18, 1
611.063, 272.999, 0
