x, y, value
308.174, 148.099, 1
288.636, 192.537, 1
243.797, 180.796, 1
294.847, 146.269, 1
411.406, 134.204, 1
477.336, 163.27, 1
350.869, 154.274, 1
236.902, 165.447, 1
307.883, 185.521, 1
196.154, 222.178, 1
361.571, 163.285, 1
256.608, 197.575, 1
67.217, 163.372, 1
232.346, 180.358, 1
402.625, 174.979, 1
387.373, 169.976, 1
65.4359, 220.588, 1
478.054, 175.792, 1
14.08, 209.54, 1
401.491, 170.322, 1
194.358, 203.274, 1
65.4344, 220.595, 1
326.527, 188.869, 1
351.038, 173.16, 1
156.629, 189.991, 1
244.465, 147.51, 1
56.4509, 201.374, 1
48.6237, 165.983, 1
387.851, 160.847, 1
16.2812, 187.475, 1
375.466, 166.663, 1
67.2097, 163.397, 1
123.369, 189.682, 1
419.689, 165.244, 1
447.607, 165.702, 1
399.775, 133.055, 1
161.795, 206.742, 1
92.8569, 189.208, 1
475.04, 145.691, 1
364.936, 184.427, 1
44.3712, 187.938, 1
363.315, 175.607, 1
66.512, 199.312, 1
429.97, 157.913, 1
442.809, 139.068, 1
191.127, 189.076, 1
425.438, 138.714, 1
378.639, 176.794, 1
89.9612, 149.264, 1
115.208, 185.822, 1
152.845, 176.19, 1
7.95367, 176.569, 1
318.56, 188.765, 1
89.6565, 173.705, 1
328.899, 161.601, 1
363.237, 130.732, 1
76.4406, 149.592, 1
328.888, 161.58, 1
327.494, 148.996, 1
349.427, 186.68, 1
426.321, 139.018, 1
445.929, 165.558, 1
262.819, 158.911, 1
317.118, 132.313, 1
307.879, 185.522, 1
463.207, 140.541, 1
44.3941, 187.933, 1
66.4609, 185.168, 1
334.531, 128.736, 1
384.212, 132.364, 1
191.966, 173.993, 1
23.3272, 136.432, 1
294.853, 146.268, 1
115.26, 185.764, 1
13.487, 151.746, 1
256.602, 197.576, 1
101.595, 220.787, 1
228.067, 223.009, 1
148.15, 207.005, 1
5.72781, 165.929, 1
303.424, 91.8316, 1
416.133, 151.52, 1
-2.95065, 169.168, 1
283.917, 146.189, 1
266.928, 146.023, 1
413.506, 135.535, 1
255.048, 145.939, 1
340.633, 177.626, 1
403.177, 152.428, 1
369.207, 160.346, 1
67.2122, 163.388, 1
175.623, 189.143, 1
452.569, 154.953, 1
55.5939, 193.219, 1
102.557, 199.478, 1
419.708, 165.232, 1
200.792, 180.42, 1
101.596, 220.783, 1
425.44, 138.714, 1
-7.59367, 157.936, 1
77.7289, 204.536, 1
142.085, 221.391, 1
285.846, 169.929, 1
445.933, 165.562, 1
235.657, 125.954, 1
147.763, 185.354, 1
390.092, 179.644, 1
130.098, 173.619, 1
23.3303, 136.422, 1
350.767, 154.288, 1
94.2247, 209.449, 1
453.469, 224.017, 1
401.395, 70.2834, 1
350.067, 133.501, 1
225.681, 162.364, 1
437.016, 150.43, 1
92.8179, 189.195, 1
337.117, 145.511, 1
391.456, 59.7376, 1
161.012, 172.646, 1
166.621, 82.1149, 1
381.473, 147.224, 1
413.725, 65.9204, 1
183.789, 153.326, 1
232.079, 153.334, 1
93.8718, 160.939, 1
462.384, 224.143, 1
0.787132, 112.024, 1
306.52, 223.373, 1
316.59, 167.469, 1
436.698, 69.8518, 1
352.673, 78.702, 1
228.068, 223.009, 1
191.097, 189.081, 1
118.802, 221.376, 1
458.502, 172.434, 1
-3.00549, 106.657, 1
166.429, 156.648, 1
41.6276, 140.142, 1
416.666, 177.483, 1
307.335, 92.4955, 1
327.707, 172.841, 1
166.95, 186.255, 1
122.364, 202.341, 1
120.659, 140.277, 1
167.91, 211.735, 1
48.2322, 221.435, 1
140.533, 150.438, 1
65.4358, 220.595, 1
185.885, 144.118, 1
379.512, 223.671, 1
-5.69388, 131.26, 1
331.36, 223.7, 1
101.598, 220.788, 1
294.857, 146.267, 0
386.213, 155.573, 1
414.791, 78.4601, 1
169.023, 173.249, 1
140.505, 150.437, 1
467.522, 169.1, 1
182.809, 81.8852, 1
185.9, 144.112, 1
362.324, 145.487, 1
280.483, 178.201, 1
350.359, 202.424, 1
419.504, 80.2578, 1
236.163, 129.721, 1
400.617, 224.006, 1
287.463, 157.205, 1
79.3593, 181.164, 1
140.517, 150.45, 1
608.722, 277.212, 0
429.077, 223.871, 1
498.04, 224.105, 1
365.537, 223.941, 1
269.403, 175.021, 1
106.134, 153.858, 1
332.37, 79.1485, 1
13.4691, 151.923, 1
212.911, 128.915, 1
204.381, 154.442, 1
178.221, 235.512, 0
494.304, 171.814, 1
306.044, 170.72, 1
297.358, 177.438, 1
