x, y, value
300.562, 142.785, 1
279.43, 187.247, 1
234.923, 173.538, 1
287.305, 140.741, 1
404.749, 132.904, 1
468.406, 163.98, 1
342.911, 150.64, 1
228.372, 158.014, 1
298.817, 180.75, 1
185.069, 214.19, 1
353.467, 159.985, 1
246.977, 191.199, 1
56.7833, 150.316, 1
223.504, 172.958, 1
394.061, 172.998, 1
378.944, 167.489, 1
52.8804, 208.717, 1
468.872, 176.41, 1
0.536125, 196.08, 1
393.022, 168.297, 1
183.299, 194.561, 1
52.8787, 208.724, 1
317.604, 184.582, 1
342.65, 169.73, 1
145.611, 180.393, 1
236.41, 140.265, 1
44.1506, 188.659, 1
37.8422, 152.468, 1
379.539, 158.403, 1
3.77705, 173.504, 1
367.075, 163.876, 1
56.7761, 150.342, 1
112.494, 178.962, 1
411.212, 163.744, 1
438.913, 165.287, 1
392.444, 130.989, 1
150.906, 197.392, 1
81.8587, 177.68, 1
466.776, 146.192, 1
356.09, 181.31, 1
32.4219, 174.832, 1
354.791, 172.52, 1
54.2872, 186.993, 1
421.485, 156.899, 1
435.046, 138.348, 1
177.961, 180.213, 1
417.996, 137.505, 1
370.062, 174.12, 1
80.195, 136.309, 1
104.479, 174.916, 1
142.122, 166.318, 1
-4.03915, 162.299, 1
309.576, 184.259, 1
79.3032, 162.009, 1
320.693, 157.674, 1
356.438, 127.373, 1
66.324, 136.499, 1
320.686, 157.652, 1
319.629, 144.375, 1
340.496, 183.124, 1
418.83, 137.807, 1
437.243, 165.116, 1
254.611, 152.063, 1
309.613, 127.204, 1
298.814, 180.751, 1
454.899, 140.485, 1
32.4459, 174.828, 1
55.1328, 172.746, 1
327.185, 124.081, 1
377.117, 129.659, 1
180.315, 165.084, 1
12.8685, 120.701, 1
287.31, 140.741, 1
104.527, 174.858, 1
2.55345, 136.1, 1
246.97, 191.199, 1
89.7453, 210.088, 1
217.255, 215.832, 1
137.145, 197.398, 1
-5.81444, 151.249, 1
298.288, 85.4234, 1
407.831, 149.979, 1
276.303, 140.195, 1
258.992, 139.25, 1
406.757, 134.101, 1
247.071, 138.925, 1
332.118, 173.856, 1
394.898, 150.433, 1
360.906, 157.374, 1
56.7785, 150.333, 1
163.654, 180.269, 1
443.911, 154.583, 1
43.4804, 180.495, 1
91.1419, 188.326, 1
411.23, 163.733, 1
189.808, 171.745, 1
89.7449, 210.084, 1
417.999, 137.505, 1
65.3803, 192.679, 1
130.594, 211.735, 1
277.383, 163.883, 1
437.246, 165.12, 1
228.702, 117.645, 1
136.811, 175.322, 1
381.442, 177.268, 1
120.046, 162.971, 1
12.8723, 120.691, 1
342.808, 150.652, 1
82.3291, 198.548, 1
442.632, 223.062, 1
396.295, 68.1286, 1
342.885, 129.592, 1
217.146, 154.754, 1
428.684, 149.524, 1
81.8231, 177.667, 1
329.294, 141.392, 1
386.511, 57.1168, 1
150.178, 163.099, 1
161.163, 71.0455, 1
373.43, 144.432, 1
408.376, 64.1835, 1
175.631, 143.974, 1
223.873, 145.908, 1
83.8632, 148.085, 1
451.337, 223.391, 1
298.65, 218.51, 1
308.164, 162.986, 1
431.538, 68.5233, 1
347.718, 74.1372, 1
217.257, 215.832, 1
177.922, 180.218, 1
106.99, 211.096, 1
449.558, 172.455, 1
157.826, 146.603, 1
31.5701, 124.743, 1
408.026, 175.821, 1
302.224, 86.2577, 1
319.234, 168.772, 1
155.814, 176.932, 1
111.134, 191.735, 1
112.205, 128.782, 1
156.989, 202.781, 1
35.6763, 209.049, 1
131.448, 139.85, 1
52.8805, 208.725, 1
177.961, 134.984, 1
371.633, 220.781, 1
325.951, 219.478, 1
89.7491, 210.09, 1
287.314, 140.739, 0
377.939, 153.058, 1
409.505, 76.7306, 1
157.647, 164.131, 1
131.422, 139.847, 1
458.5, 169.476, 1
177.371, 71.5081, 1
177.976, 134.977, 1
354.469, 142.034, 1
271.321, 172.644, 1
