x, y, value
434.867, 143.414, 1
415.586, 189.943, 1
370.263, 179.562, 1
421.404, 141.881, 1
553.335, 117.826, 1
623.037, 152.037, 1
481.025, 147.618, 1
85.3098, 108.157, 1
363.357, 163.942, 1
435.659, 182.34, 1
81.5112, 179.182, 1
324.388, 222.572, 1
492.189, 156.785, 1
383.196, 196.327, 1
205.499, 168.698, 1
359.224, 178.944, 1
96.4774, 76.3288, 1
537.713, 167.922, 1
520.659, 162.96, 1
205.406, 223.361, 1
112.371, 199.701, 1
623.736, 165.907, 1
114.57, 226.423, 1
160.006, 213.252, 1
536.39, 163.002, 1
322.979, 203.537, 1
205.405, 223.365, 1
455.16, 185.145, 1
481.215, 167.617, 1
289.206, 191.588, 1
370.68, 145.316, 1
197.395, 205.645, 1
189.064, 171.35, 1
99.988, 130.207, 1
95.3523, 90.1804, 1
521.044, 153.497, 1
99.868, 159.669, 1
114.592, 226.418, 1
81.6374, 81.5189, 1
64.5648, 96.7138, 1
85.2982, 108.14, 1
162.847, 192.692, 1
97.1746, 176.473, 1
80.273, 164.315, 1
507.394, 159.739, 1
205.493, 168.725, 1
257.844, 192.226, 1
556.606, 156.138, 1
588.617, 155.704, 1
534.334, 122.938, 1
291.759, 207.493, 1
61.4165, 229.107, 1
142.063, 195.847, 1
230.534, 192.255, 1
621.197, 133.307, 1
81.2035, 228.66, 1
86.3785, 204.436, 1
496.669, 178.889, 1
186.558, 192.452, 1
143.27, 219.835, 1
494.429, 169.834, 1
77.245, 174.549, 1
207.349, 203.336, 1
568.812, 148.029, 1
93.5326, 156.676, 1
583.254, 126.938, 1
335.36, 187.944, 1
564.081, 127.214, 1
511.116, 170.421, 1
67.3465, 54.449, 1
225.858, 154.945, 1
85.0887, 136.219, 1
251.135, 188.502, 1
285.029, 177.578, 1
564.714, 294.892, 0
155.828, 182.595, 1
446.604, 185.434, 1
55.8121, 202.731, 1
118.707, 186.545, 1
226.425, 176.742, 1
457.668, 156.104, 1
55.5973, 183.727, 1
59.7733, 161.742, 1
494.329, 122.334, 1
81.8196, 228.745, 1
213.611, 155.187, 1
99.9904, 130.217, 1
97.194, 176.439, 1
457.662, 156.075, 1
456.151, 143.147, 1
479.596, 181.732, 1
135.045, 208.957, 1
565.02, 127.505, 1
586.876, 155.53, 1
389.477, 156.288, 1
443.705, 126.896, 1
435.658, 182.341, 1
97.3513, 110.178, 1
608.109, 127.885, 1
186.58, 192.447, 1
67.4898, 178.525, 1
206.983, 189.634, 1
462.357, 121.84, 1
516.432, 123.137, 1
61.4311, 229.105, 1
75.5641, 190.405, 1
143.267, 219.845, 1
120.765, 209.701, 1
333.476, 171.331, 1
167.308, 144.326, 1
421.406, 141.879, 1
251.15, 188.448, 1
117.476, 170.811, 1
158.718, 159.201, 1
383.194, 196.325, 1
235.071, 223.01, 1
352.39, 222.647, 1
95.3584, 189.642, 1
71.1415, 144.466, 1
480.339, 305.051, 0
278.702, 208.233, 1
152.358, 172.785, 1
105.546, 189.255, 1
422.216, 84.9702, 1
552.865, 141.213, 1
145.205, 175.724, 1
409.585, 142.425, 1
96.981, 56.0562, 1
600.187, 295.031, 0
393.265, 143.199, 1
58.9721, 215.554, 1
550.915, 124.825, 1
381.279, 143.491, 1
469.895, 172.906, 1
98.8294, 146.76, 1
538.256, 143.13, 1
67.948, 65.8346, 1
558.568, 292.914, 0
500.788, 153.426, 1
114.57, 226.424, 1
163.145, 226.3, 1
68.2314, 205.126, 1
205.494, 168.718, 1
317.724, 188.496, 1
594.116, 143.901, 1
197.312, 197.657, 1
238.349, 202.373, 1
556.627, 156.118, 1
343.413, 178.67, 1
235.071, 223.007, 1
69.6384, 133.508, 1
98.783, 222.806, 1
60.1549, 107.223, 1
564.078, 127.214, 1
141.745, 165.18, 1
217.154, 207.386, 1
272.454, 222.843, 1
412.649, 166.489, 1
586.879, 155.536, 1
360.512, 124.885, 1
85.9069, 191.905, 1
481.337, 304.231, 0
279.466, 186.937, 1
523.963, 172.904, 1
265.164, 175.53, 1
167.311, 144.316, 1
480.911, 147.628, 1
52.9996, 97.5528, 1
131.884, 198.13, 1
229.484, 211.945, 1
593.658, 219.188, 1
524.828, 55.6898, 1
478.579, 125.7, 1
100.012, 130.304, 1
352.28, 161.101, 1
130.769, 186.318, 1
97.7723, 211.112, 1
393.627, 222.212, 1
577, 139.112, 1
230.491, 192.242, 1
466.449, 138.699, 1
130.148, 227.27, 1
513.193, 45.9011, 1
296.793, 173.253, 1
284.054, 86.3734, 1
75.0119, 213.72, 1
513.966, 138.994, 1
60.9814, 131.808, 1
538.697, 50.1552, 1
311.207, 155.176, 1
358.349, 151.787, 1
229.33, 166.081, 1
607.607, 218.951, 1
146.849, 128.305, 1
409.672, 221.964, 1
445.018, 162.843, 1
498.638, 264.949, 0
428.82, 221.712, 1
562.598, 53.2243, 1
472.146, 69.1571, 1
352.392, 222.648, 1
444.728, 303.918, 0
59.741, 161.747, 1
335.316, 187.953, 1
250.85, 223.307, 1
600.378, 162.456, 1
142.295, 113.631, 1
295.293, 158.187, 1
183.179, 148.035, 1
553.158, 169.678, 1
426.084, 85.4492, 1
480.723, 305.173, 0
52.5805, 116.625, 1
456.496, 168.505, 1
301.116, 187.023, 1
255.221, 204.87, 1
246.733, 144.183, 1
298.305, 212.63, 1
188.703, 224.22, 1
269.91, 153.859, 1
346.852, 256.574, 0
205.406, 223.367, 1
312.262, 145.017, 1
512.341, 220.454, 1
142.412, 142.091, 1
456.259, 221.456, 1
235.071, 223.012, 1
421.409, 141.876, 1
519.242, 147.764, 1
558.349, 300.418, 0
539.729, 62.8184, 1
77.4952, 91.6962, 1
583.628, 272.996, 0
558.237, 301.51, 0
306.681, 171.499, 1
269.88, 153.855, 1
589.165, 275.552, 0
612.71, 159.008, 1
300.079, 86.0172, 1
312.274, 145.013, 1
492.78, 138.044, 1
448.778, 305.944, 0
407.415, 175.598, 1
479.919, 197.844, 1
490.796, 311.048, 0
544.737, 64.444, 1
360.764, 127.694, 1
527.626, 220.458, 1
414.064, 153.249, 1
216.997, 184.964, 1
269.894, 153.871, 0
465.629, 309.032, 0
440.595, 291.589, 0
562.46, 219.765, 1
642.408, 218.775, 1
487.058, 221.029, 1
395.859, 172.639, 1
240.923, 158.248, 1
95.7212, 200.54, 1
562.184, 293.227, 0
487.815, 74.1414, 1
450.832, 70.4584, 1
604.723, 300.932, 0
158.711, 159.328, 1
335.288, 128.728, 1
331.355, 155.194, 1
577.972, 287.911, 0
276.756, 236.172, 1
641.815, 159.976, 1
433.595, 167.295, 1
424.701, 174.159, 1
429.866, 304.664, 0
613.184, 282.926, 0
545.799, 220.574, 1
370.31, 285.904, 0
118.157, 152.775, 1
132.831, 152.889, 1
563.797, 279.556, 0
404.753, 271.09, 0
347.227, 257.021, 1
175.63, 185.619, 1
371.795, 222.388, 1
88.5131, 215.213, 1
327.972, 299.843, 0
109.259, 145.229, 1
385.137, 262.542, 0
512.566, 220.452, 1
126.063, 164.622, 1
473.018, 313.589, 0
452.971, 305.649, 0
427.42, 221.899, 1
165.759, 204.114, 1
509.63, 282.4, 0
53.7952, 143.967, 1
476.587, 220.619, 1
331.321, 155.199, 1
338.384, 250.568, 0
607.176, 138.987, 1
450.593, 306.336, 0
269.879, 153.856, 1
370.9, 285.823, 0
370.683, 145.313, 1
306.611, 223.449, 1
370.298, 285.929, 0
558.377, 114.369, 1
31.9339, 104.213, 1
206.159, 223.643, 0
36.0486, 229.281, 1
468.112, 159.439, 1
32.8173, 84.8437, 1
43.1536, 192.17, 1
40.2163, 179.287, 0
25.7603, 178.639, 1
33.769, 159.986, 1
32.8287, 84.8614, 1
99.6832, 130.927, 1
38.4642, 229.799, 1
182.022, 207.011, 1
40.5432, 179.197, 1
634.395, 145.563, 1
579.009, 345.032, 0
32.8087, 84.8479, 1
519.311, 343.983, 0
45.3356, 211.852, 1
22.394, 194.343, 1
48.3889, 168.658, 1
385.061, 195.351, 0
34.1508, 84.0959, 1
11.0446, 179.961, 1
19.2335, 230.108, 1
25.136, 228.377, 1
10.251, 104.349, 0
49.7848, 228.252, 1
571.734, 321.106, 0
13.5534, 67.0766, 1
47.4959, 125.68, 1
554.6, 346.768, 0
11.052, 179.97, 1
31.2718, 208.565, 1
12.9063, 79.5181, 1
395.637, 185.34, 0
108.86, 213.406, 1
638.3, 126.452, 0
265.525, 211.102, 0
357.075, 292.277, 0
10.2483, 104.357, 1
273.464, 311.271, 0
315.783, 296.38, 0
41.3208, 112.473, 1
159.288, 158.156, 1
374.14, 165.772, 0
23.6476, 129.255, 1
271.054, 313.816, 0
10.3019, 104.328, 1
41.5681, 101.449, 1
8.22303, 205.878, 1
558.525, 336.116, 0
560.434, 105.659, 0
44.8404, 90.7817, 1
267.467, 191.982, 1
634.094, 145.654, 1
-1.30993, 200.761, 1
525.732, 406.351, 1
5.69796, 179.427, 1
3.22363, 228.531, 1
642.997, 406.689, 0
253.582, 187.967, 1
518.274, 365.348, 0
420.752, 142.328, 1
539.949, 403.211, 0
570.545, 378.129, 0
540.716, 382.075, 0
508.265, 436.651, 1
597.117, 359.918, 1
5.70133, 179.411, 1
283.789, 394.493, 1
384.154, 195.776, 1
479.244, 423.642, 0
566.264, 356.465, 1
287.099, 386.514, 1
384.528, 390.798, 1
88.568, 130.803, 1
185.727, 193.173, 1
570.88, 427.015, 0
512.003, 361.18, 1
214.81, 177.669, 1
389.956, 345.557, 0
65.1849, 435.673, 0
170.317, 134.451, 1
327.106, 380.922, 1
358.538, 399.124, 1
552.77, 384.346, 0
490.754, 361.573, 1
560.809, 463.671, 0
