x, y, value
362.036, 154.409, 1
341.278, 198.037, 1
297.25, 184.926, 1
348.679, 152.426, 1
471.271, 140.31, 1
535.634, 173.182, 1
404.772, 161.004, 1
-0.510353, 95.5669, 1
290.589, 169.629, 1
360.597, 191.691, 1
-9.61046, 168.818, 1
249.299, 224.818, 1
415.436, 170.113, 1
309.263, 202.387, 1
127.686, 164.946, 1
285.947, 184.303, 1
13.9669, 63.275, 1
457.456, 183.003, 1
441.702, 177.303, 1
124.768, 219.552, 1
23.2066, 191.388, 1
536.17, 185.969, 1
25.1826, 218.7, 1
76.0412, 207.245, 1
456.265, 178.191, 1
248.04, 206.424, 1
124.767, 219.557, 1
379.287, 195.293, 1
404.628, 180.054, 1
214.696, 192.34, 1
298.505, 152.634, 1
116.644, 201.299, 1
110.141, 166.749, 1
14.558, 118.477, 1
12.4069, 77.0641, 1
442.251, 168.287, 1
12.4155, 148.68, 1
25.2126, 218.692, 1
-1.63522, 67.6964, 1
-0.521282, 95.5497, 1
80.228, 186.735, 1
8.38616, 166.345, 1
-9.50503, 153.033, 1
429.475, 173.868, 1
127.681, 164.969, 1
182.143, 191.167, 1
475.289, 173.425, 1
504.418, 174.607, 1
455.141, 140.801, 1
216.742, 208.177, 1
57.0804, 188.897, 1
153.269, 189.726, 1
534.196, 155.112, 1
-13.56, 195.953, 1
418.611, 191.561, 1
105.885, 187.656, 1
57.5723, 213.259, 1
417.113, 182.747, 1
126.801, 199.579, 1
486.365, 166.437, 1
5.67844, 145.327, 1
500.485, 147.611, 1
258.237, 191.484, 1
482.485, 146.806, 1
432.68, 184.134, 1
149.606, 151.472, 1
-2.20018, 123.567, 1
175.411, 187.113, 1
211.285, 178.142, 1
594.199, 299.207, 0
72.6928, 175.976, 1
371.266, 195.237, 1
31.089, 177.839, 1
149.674, 174.056, 1
382.52, 168.192, 1
418.16, 138.004, 1
136.655, 151.555, 1
14.561, 118.489, 1
8.40792, 166.307, 1
382.508, 168.172, 1
381.325, 155.643, 1
402.45, 193.505, 1
49.2672, 202.008, 1
483.384, 147.164, 1
502.718, 174.45, 1
316.935, 164.293, 1
370.953, 138.708, 1
360.595, 191.693, 1
11.9088, 98.0291, 1
521.644, 149.614, 1
105.909, 187.653, 1
127.693, 185.823, 1
388.307, 135.588, 1
438.976, 139.874, 1
57.5695, 213.27, 1
31.6221, 201.825, 1
257.341, 175.148, 1
87.0817, 137.994, 1
348.683, 152.423, 1
175.445, 187.055, 1
30.8259, 161.806, 1
77.6646, 152.473, 1
309.262, 202.384, 1
157.625, 220.696, 1
278.998, 226.335, 1
4.76554, 179.908, 1
557.537, 290.971, 0
203.294, 208.386, 1
70.1882, 165.645, 1
16.6678, 180.139, 1
353.461, 98.6813, 1
471.82, 159.516, 1
62.3168, 168.558, 1
337.572, 152.044, 1
15.4211, 43.3753, 1
321.189, 151.422, 1
470.304, 143.709, 1
309.125, 151.252, 1
393.901, 184.389, 1
11.7874, 135.391, 1
458.269, 160.074, 1
578.464, 301.426, 0
423.23, 167.511, 1
25.1815, 218.7, 1
79.1846, 220.349, 1
127.682, 164.962, 1
243.887, 190.946, 1
509.555, 163.848, 1
116.711, 193.388, 1
161.016, 200.26, 1
475.308, 173.41, 1
266.075, 183.004, 1
157.625, 220.694, 1
7.39278, 214.076, 1
482.483, 146.807, 1
58.473, 157.218, 1
137.05, 204.241, 1
196.771, 222.649, 1
338.956, 175.449, 1
502.722, 174.455, 1
290.134, 131.474, 1
-6.80487, 182.097, 1
502.425, 294.002, 0
204.773, 187.212, 1
444.495, 187.196, 1
190.707, 174.771, 1
87.0859, 137.983, 1
404.683, 161.01, 1
46.42, 190.914, 1
151.557, 209.367, 1
507.278, 233.674, 1
452.254, 78.0723, 1
404.222, 140.564, 1
14.5792, 118.574, 1
279.522, 166.466, 1
45.4473, 178.423, 1
6.25479, 202.301, 1
493.871, 158.907, 1
153.227, 189.708, 1
391.061, 152.214, 1
42.0783, 219.823, 1
442.007, 67.5612, 1
223.55, 174.206, 1
216.572, 88.5412, 1
436.004, 154.698, 1
464.243, 73.5755, 1
239.28, 157.706, 1
286.041, 157.821, 1
153.053, 162.766, 1
519.134, 234.131, 1
66.1303, 117.264, 1
350.475, 228.846, 1
370.126, 173.414, 1
564.162, 286.921, 0
487.875, 77.6035, 1
402.335, 85.9349, 1
278.993, 226.335, 1
510.258, 294.368, 0
258.208, 191.487, 1
174.259, 221.763, 1
515.348, 181.653, 1
63.4037, 107.095, 1
222.686, 159.58, 1
104.396, 142.02, 1
471.895, 185.757, 1
357.403, 99.4034, 1
502.116, 296.749, 0
381.057, 179.268, 1
226.844, 188.459, 1
178.879, 203.558, 1
174.213, 143.32, 1
223.096, 213.63, 1
107.907, 219.642, 1
196.611, 153.52, 1
389.645, 264.435, 0
124.768, 219.559, 1
240.783, 148.187, 1
433.169, 231.459, 1
60.4394, 133.23, 1
379.837, 229.911, 1
157.627, 220.698, 1
348.685, 152.422, 1
440.607, 162.824, 1
572.298, 302.373, 0
465.135, 86.2791, 1
-7.66706, 77.4297, 1
567.155, 302.688, 0
233.654, 173.252, 1
196.582, 153.516, 1
525.536, 178.974, 1
233.023, 88.2673, 1
240.796, 148.186, 1
416.469, 152.526, 1
509.449, 294.329, 0
333.309, 183.554, 1
402.426, 209.297, 1
554.685, 298.831, 0
469.799, 88.1829, 1
290.25, 134.627, 1
447.457, 232.102, 1
341.054, 163.107, 1
139.495, 181.768, 1
196.594, 153.532, 1
545.995, 298.161, 0
501.411, 293.849, 0
478.606, 233.074, 1
554.753, 235.278, 1
411.488, 230.923, 1
322.528, 180.234, 1
165.127, 155.813, 1
4.10386, 191.239, 1
592.837, 299.619, 0
418.52, 91.6477, 1
381.805, 86.2724, 1
77.6524, 152.601, 1
266.139, 135.17, 1
259.065, 158.801, 1
609.737, 293.418, 0
221.354, 237.185, 1
553.092, 181.894, 1
359.225, 176.94, 1
350.161, 183.178, 1
501.254, 294.407, 0
463.529, 233.054, 1
471.506, 293.977, 0
32.2222, 142.608, 1
48.7602, 144.706, 1
601.685, 302.809, 0
496.229, 291.288, 0
395.662, 266.896, 0
94.727, 180.361, 1
299.105, 227.138, 0
-9.20601, 205.232, 1
431.343, 289.674, 0
23.0863, 134.074, 1
414.304, 263.703, 0
433.364, 231.463, 1
40.2947, 155.815, 1
557.726, 292.19, 0
507.333, 294.171, 0
362.648, 229.477, 1
82.5862, 198.18, 1
577.522, 301.735, 0
410.364, 230.421, 1
259.029, 158.804, 1
351.466, 250.322, 0
520.806, 160.561, 1
508.377, 294.321, 0
196.583, 153.516, 0
471.903, 293.581, 0
298.507, 152.63, 1
231.558, 224.872, 1
471.564, 294.471, 0
475.273, 139.677, 1
125.504, 219.887, 0
392.37, 172.021, 1
14.1722, 119.142, 0
100.797, 201.74, 1
545.691, 167.71, 1
558.421, 312.558, 0
311.149, 201.448, 0
579.596, 305.438, 1
561.864, 319.928, 0
321.71, 191.902, 0
19.3565, 205.398, 1
549.387, 153.43, 0
189.426, 210.482, 0
437.379, 289.322, 0
346.731, 290.176, 0
397.485, 285.085, 0
78.2871, 151.533, 0
301.416, 171.509, 0
344.728, 291.309, 0
561.034, 307.033, 0
475.656, 137.664, 1
192.081, 191.505, 1
545.434, 167.815, 1
178.009, 186.678, 1
558.111, 312.491, 0
348.068, 152.804, 1
310.244, 201.81, 0
558.076, 317.185, 0
509.902, 315.919, 0
617.946, 338.551, 0
1.83135, 118.227, 0
104.992, 188.284, 1
599.956, 320.598, 0
137.394, 174.346, 0
557.164, 318.532, 0
90.6887, 128.239, 1
637.153, 333.785, 0
559.796, 320.598, 0
558.659, 319.396, 0
556.817, 97.0535, 1
478.409, 131.503, 1
556.149, 134.866, 1
557.475, 165.269, 1
559.753, 118.457, 1
560.646, 97.5569, 1
577.494, 182.446, 1
-0.792732, 95.5878, 1
556.149, 134.866, 0
494.448, 175.125, 1
108.051, 174.519, 1
455.598, 323.757, 0
420.779, 337.683, 0
559.795, 104.83, 1
508.347, 332.404, 0
464.73, 323.411, 0
503.726, 316.316, 0
307.648, 260.677, 0
455.737, 325.453, 0
561.915, 155.134, 1
118.638, 174.79, 1
290.997, 323.421, 0
331.139, 344.726, 0
522.364, 316.86, 0
21.1586, 164.868, 1
409.876, 325.838, 0
504.061, 315.777, 0
518.493, 314.553, 0
466.915, 325.42, 0
338.273, 340.981, 0
634.802, 384.12, 0
199.7, 331.354, 0
504.162, 315.049, 1
452.454, 77.7909, 1
602.992, 115.557, 1
557.916, 136.909, 1
556.838, 85.6432, 1
556.844, 85.6772, 1
605.983, 159.05, 1
603.005, 115.577, 1
605.032, 173.811, 1
-9.31667, 168.518, 1
-9.66702, 151.801, 1
-5.89322, 219.318, 0
603.677, 134.017, 1
603.657, 134.045, 1
-12.3497, 196.469, 1
605.977, 159.044, 1
593.336, 163.537, 1
455.217, 342.233, 0
591.856, 180.43, 1
551.022, 350.184, 0
296.159, 386.159, 0
591.146, 136.256, 1
533.991, 349.834, 0
-5.52549, 135.518, 1
162.743, 349.814, 0
412.087, 316.829, 0
554.847, 350.907, 0
604.605, 188.399, 1
501.325, 302.321, 0
574.782, 166.598, 1
625.682, 155.533, 1
443.557, 340.537, 0
71.6085, 217.139, 1
627.333, 168.516, 1
522.348, 366.016, 0
534.224, 349.98, 0
512.586, 146.257, 1
636.835, 391.299, 0
204.518, 317.36, 1
161.654, 285.64, 1
532.851, 329.613, 1
