x, y, value
415.684, 125.817, 1
397.815, 172.311, 1
618.337, 44.0459, 0
352.706, 163.871, 1
624.119, 44.4336, 1
624.17, 90.8657, 1
402.268, 124.406, 1
534.971, 90.1876, 1
624.881, 117.393, 1
601.736, 127.588, 1
461.707, 128.282, 1
61.7013, 101.128, 1
622.833, 86.1502, 1
345.467, 148.276, 1
417.681, 163.77, 1
60.7822, 172.649, 1
308.03, 207.67, 1
472.871, 136.913, 1
365.714, 180.063, 1
186.448, 158.088, 1
341.749, 163.612, 1
71.5855, 69.3573, 1
624.168, 90.8617, 1
517.914, 146.351, 1
501.068, 141.901, 1
188.227, 212.518, 1
93.1703, 192.19, 1
602.488, 141.497, 1
96.0224, 218.83, 1
141.848, 204.014, 1
516.552, 141.527, 1
306.469, 189.107, 1
188.225, 212.522, 1
436.652, 166.162, 1
462.116, 147.809, 1
271.887, 178.221, 1
352.172, 129.308, 1
179.722, 195.273, 1
169.997, 161.245, 1
77.1716, 123.275, 1
70.776, 83.2086, 1
501.377, 132.637, 1
78.6984, 152.588, 1
96.0548, 218.823, 1
56.7457, 74.7317, 1
39.6987, 90.7669, 1
61.6895, 101.112, 1
144.003, 183.227, 1
76.5758, 169.521, 1
58.9648, 157.755, 1
488.004, 139.119, 1
623.82, 67.8195, 1
186.442, 158.117, 1
240.425, 179.831, 1
536.514, 134.144, 1
567.783, 132.834, 1
513.44, 102.103, 1
274.776, 193.943, 1
41.8519, 223.31, 1
123.197, 187.141, 1
212.46, 180.78, 1
599.348, 109.313, 1
62.0977, 222.021, 1
66.796, 197.952, 1
477.767, 158.327, 1
168.411, 182.377, 1
124.987, 211, 1
475.384, 149.493, 1
56.0931, 168.262, 1
189.689, 192.542, 1
548.428, 125.803, 1
72.2179, 149.668, 1
561.762, 104.578, 1
317.76, 173.268, 1
542.679, 105.466, 1
491.887, 149.412, 1
41.1786, 48.0264, 1
206.828, 143.977, 1
62.3553, 129.511, 1
233.479, 176.377, 1
267.289, 164.427, 1
457.972, 310.514, 0
136.592, 173.5, 1
428.389, 166.705, 1
35.4627, 196.897, 1
98.9544, 178.571, 1
207.772, 165.514, 1
438.681, 136.969, 1
34.4616, 178.088, 1
37.2687, 155.7, 1
474.197, 103.052, 1
62.7226, 222.078, 1
194.489, 144.342, 1
77.1743, 123.285, 1
76.5923, 169.486, 1
438.674, 136.941, 1
436.9, 124.83, 1
460.87, 161.902, 1
116.487, 200.467, 1
543.613, 105.737, 1
566.065, 132.689, 1
370.789, 139.967, 1
424.234, 109.078, 1
417.68, 163.771, 1
73.802, 103.05, 1
586.602, 104.779, 1
168.431, 182.372, 1
46.4562, 172.495, 1
485.463, 319.133, 0
188.701, 178.969, 1
442.602, 103.436, 1
607.235, 303.505, 0
495.799, 102.803, 1
612.453, 282.414, 0
41.8656, 223.309, 1
55.3266, 183.92, 1
124.983, 211.012, 1
101.999, 201.683, 1
315.647, 156.579, 1
592.638, 299.23, 1
624.877, 117.386, 1
623.426, 52.6348, 1
147.247, 134.873, 1
402.27, 124.403, 1
233.485, 176.321, 1
96.8823, 162.828, 1
138.78, 149.978, 1
365.713, 180.063, 1
218.055, 211.23, 1
336.408, 206.673, 1
75.2555, 182.739, 1
48.5037, 138.072, 1
365.302, 319.253, 0
261.678, 195.001, 1
132.67, 163.861, 1
85.613, 182.026, 1
399.615, 67.618, 1
532.639, 119.688, 1
125.606, 167.02, 1
604.681, 296.054, 1
390.493, 125.3, 1
71.5335, 48.9238, 1
480.54, 289.885, 0
