x, y, value
351.907, 138.317, 1
332.324, 182.483, 1
287.916, 170.922, 1
338.548, 136.48, 1
459.98, 121.941, 1
525.915, 152.14, 1
395.376, 143.988, 1
281.019, 155.525, 1
351.507, 175.542, 1
241.153, 211.828, 1
406.16, 152.882, 1
300.505, 187.841, 1
116.751, 155.316, 1
276.576, 170.335, 1
448.363, 164.678, 1
432.549, 159.486, 1
115.858, 210.484, 1
12.3972, 184.713, 1
526.539, 164.961, 1
14.8956, 211.871, 1
66.4459, 199.492, 1
447.143, 159.967, 1
239.792, 193.757, 1
115.856, 210.49, 1
370.178, 178.754, 1
395.523, 162.824, 1
205.416, 180.674, 1
288.533, 138.235, 1
107.291, 192.312, 1
99.3076, 157.653, 1
-1.7391, 112.762, 1
433.028, 150.534, 1
-1.16269, 143.188, 1
14.9228, 211.866, 1
69.4288, 178.542, 1
-4.76783, 160.09, 1
420.293, 156.243, 1
116.744, 155.341, 1
172.588, 180.392, 1
465.957, 154.475, 1
494.873, 154.742, 1
445.241, 122.361, 1
207.835, 196.552, 1
46.235, 181.497, 1
143.492, 179.782, 1
524.103, 134.317, 1
409.68, 173.927, 1
96.0512, 178.876, 1
47.4892, 205.782, 1
408.022, 165.232, 1
117.455, 190.376, 1
476.81, 147.144, 1
-8.40713, 139.243, 1
490.583, 127.999, 1
247.922, 178.526, 1
472.59, 127.696, 1
423.621, 166.303, 1
138.445, 141.578, 1
165.643, 176.551, 1
201.456, 166.659, 1
593.362, 255.392, 0
61.4802, 167.938, 1
362.131, 178.794, 1
19.5777, 170.647, 1
139.078, 164.192, 1
373.071, 151.46, 1
408.019, 120.536, 1
125.511, 141.812, 1
-1.73392, 112.773, 1
-4.75463, 160.048, 1
373.056, 151.444, 1
371.598, 139.148, 1
393.602, 176.314, 1
38.7419, 194.706, 1
473.498, 128.025, 1
493.188, 154.6, 1
306.81, 149.523, 1
360.847, 122.444, 1
351.505, 175.544, 1
511.784, 129.371, 1
96.0786, 178.872, 1
117.556, 176.477, 1
378.345, 118.758, 1
428.999, 121.881, 1
47.4865, 205.793, 1
21.2516, 195.1, 1
246.482, 161.874, 1
75.117, 128.981, 1
338.552, 136.477, 1
165.685, 176.496, 1
18.2522, 154.522, 1
65.7745, 143.702, 1
300.504, 187.839, 1
149.484, 210.726, 1
271.308, 212.466, 1
-7.98782, 174.255, 1
560.631, 250.55, 0
194.425, 196.937, 1
58.5641, 157.435, 1
4.71505, 174, 1
343.031, 82.3425, 1
462.445, 140.607, 1
50.7744, 160.571, 1
327.378, 136.475, 1
310.719, 136.561, 1
460.181, 124.755, 1
299.094, 136.612, 1
384.73, 167.378, 1
-2.50689, 130.898, 1
449.021, 141.84, 1
576.488, 254.883, 0
413.942, 150.058, 1
14.894, 211.871, 1
69.7428, 212.574, 1
116.747, 155.331, 1
233.91, 178.406, 1
499.983, 143.941, 1
107.098, 184.357, 1
151.821, 190.169, 1
465.978, 154.461, 1
255.404, 169.674, 1
149.483, 210.723, 1
-3.153, 206.949, 1
472.588, 127.697, 1
46.4311, 149.371, 1
128.044, 195.02, 1
188.545, 211.309, 1
329.463, 160.117, 1
493.192, 154.606, 1
279.233, 116.662, 1
531.956, 268.935, 0
195.397, 175.903, 1
435.468, 169.155, 1
180.573, 163.88, 1
75.1209, 128.969, 1
395.284, 143.992, 1
35.6427, 183.762, 1
142.942, 199.564, 1
499.414, 213.087, 1
441.477, 59.1974, 1
394.065, 123.425, 1
-1.69949, 112.853, 1
269.76, 152.453, 1
34.2832, 171.043, 1
-4.43601, 195.741, 1
484.184, 139.429, 1
143.45, 179.767, 1
381.422, 135.458, 1
32.0204, 213.007, 1
430.831, 48.8892, 1
213.425, 162.523, 1
204.453, 75.2129, 1
426.481, 136.907, 1
453.936, 54.5214, 1
228.523, 144.827, 1
276.211, 143.717, 1
142.191, 152.998, 1
511.554, 213.242, 1
52.1034, 105.825, 1
332.564, 212.885, 1
360.583, 157.405, 1
570.277, 246.218, 0
477.526, 58.4195, 1
391.885, 68.9309, 1
271.308, 212.467, 1
550.034, 256.823, 0
247.891, 178.53, 1
165.98, 211.292, 1
505.86, 161.306, 1
49.3642, 98.0525, 1
212.035, 147.521, 1
92.5893, 132.864, 1
462.73, 166.915, 1
346.962, 83.0615, 1
517.772, 258.944, 0
371.711, 162.794, 1
217.356, 176.544, 1
169.751, 192.919, 1
163.01, 131.895, 1
214.155, 201.477, 1
98.8779, 211.085, 1
185.966, 142.073, 1
115.858, 210.491, 1
229.784, 135.205, 1
425.493, 212.984, 1
47.3424, 125.136, 1
372.973, 213.135, 1
149.484, 210.728, 1
338.555, 136.476, 1
431.336, 145.19, 1
569.523, 260.285, 0
454.871, 67.2438, 1
564.677, 261.012, 0
223.451, 161.266, 1
185.935, 142.069, 1
515.896, 158.173, 1
220.618, 74.5808, 1
229.798, 135.204, 1
406.949, 135.254, 1
548.71, 256.928, 0
324.253, 168.127, 1
393.509, 192.032, 1
550.336, 265.175, 0
459.673, 69.1172, 1
279.58, 120.201, 1
439.537, 213.315, 1
331.145, 147.442, 1
128.898, 172.144, 1
185.948, 142.082, 1
537.41, 264.905, 0
488.536, 266.738, 0
470.634, 213.155, 1
546.746, 213.093, 1
403.56, 213.21, 1
313.268, 165.076, 1
154.109, 145.589, 1
-7.06908, 185.297, 0
592.886, 256.022, 0
409.292, 73.9603, 1
371.24, 69.5121, 1
65.7645, 143.841, 1
254.921, 120.21, 1
248.995, 145.376, 1
599.035, 250.448, 0
214.926, 225.005, 1
543.437, 160.578, 1
349.679, 160.786, 1
340.99, 167.205, 1
532.677, 268.22, 0
455.695, 213.717, 1
514.591, 263.212, 0
19.0764, 136.101, 1
35.8366, 136.662, 1
604.335, 257.994, 0
505.084, 252.785, 0
406.683, 245.328, 0
84.3961, 171.805, 1
292.389, 212.682, 0
482.14, 263.018, 0
9.07772, 128.793, 1
425.684, 212.984, 1
27.6218, 148.443, 1
561.941, 255.95, 0
547.641, 256.75, 0
352.599, 213.193, 1
72.5333, 190.103, 1
576.958, 255.271, 0
402.282, 212.716, 1
248.957, 145.384, 1
511.11, 140.29, 1
