x, y, value
373.661, 164.301, 1
354.503, 208.954, 1
309.929, 197.577, 1
360.332, 162.535, 1
483.544, 145.544, 1
549.962, 176.807, 1
417.13, 169.501, 1
15.532, 118.934, 1
303.175, 182.341, 1
373.693, 201.711, 1
8.60825, 191.371, 1
263.371, 239.009, 1
427.902, 178.389, 1
322.459, 214.352, 1
142.143, 182.986, 1
298.608, 197.034, 1
28.5431, 86.8011, 1
470.62, 190.011, 1
454.661, 184.786, 1
140.628, 237.837, 1
40.7413, 213.124, 1
550.659, 190.003, 1
42.8854, 240.448, 1
92.6879, 227.273, 1
469.377, 185.242, 1
262.098, 220.635, 1
140.626, 237.842, 1
392.017, 204.793, 1
417.244, 188.644, 1
228.425, 207.635, 1
310.851, 164.634, 1
132.424, 219.948, 1
125.057, 185.38, 1
30.4743, 141.693, 1
27.1951, 100.569, 1
455.111, 175.678, 1
29.246, 171.86, 1
42.9153, 240.442, 1
13.3094, 91.5804, 1
15.521, 118.916, 1
96.2035, 206.338, 1
25.7085, 188.877, 1
8.01681, 176.176, 1
442.257, 181.586, 1
142.136, 183.008, 1
196.094, 207.495, 1
488.453, 179.466, 1
517.943, 179.696, 1
467.274, 147.22, 1
230.629, 223.431, 1
-13.3309, 241.617, 1
73.6495, 209.339, 1
167.759, 207.11, 1
548.037, 158.671, 1
6.70345, 242.028, 1
12.1723, 217.067, 1
431.776, 199.834, 1
121.515, 206.558, 1
74.4895, 233.747, 1
429.91, 190.984, 1
4.01554, 186.617, 1
142.512, 217.885, 1
499.473, 171.974, 1
22.6127, 168.552, 1
513.123, 152.474, 1
272.235, 205.356, 1
494.891, 152.205, 1
445.686, 191.813, 1
163.568, 169.335, 1
14.6992, 147.366, 1
189.25, 203.668, 1
224.743, 193.708, 1
607.721, 305.061, 0
88.7186, 195.929, 1
384.201, 204.955, 1
48.2908, 199.4, 1
163.823, 191.61, 1
394.754, 177.108, 1
430.198, 145.846, 1
7.37729, 242.101, 1
150.773, 169.501, 1
30.4775, 141.704, 1
25.7291, 188.84, 1
394.741, 177.088, 1
393.358, 164.781, 1
415.368, 202.319, 1
66.1096, 222.637, 1
495.79, 152.508, 1
516.235, 179.552, 1
329.177, 175.838, 1
382.455, 148.288, 1
373.691, 201.712, 1
27.7256, 121.238, 1
535.469, 153.701, 1
121.536, 206.554, 1
-8.35017, 190.718, 1
142.83, 204.088, 1
399.879, 144.385, 1
450.901, 146.916, 1
-13.3211, 241.612, 1
1.14225, 202.442, 1
74.4866, 233.757, 1
49.2979, 223.327, 1
271.12, 188.879, 1
102.112, 157.64, 1
360.335, 162.533, 1
189.282, 203.613, 1
47.4743, 183.433, 1
92.8026, 172.516, 1
322.457, 214.349, 1
172.585, 237.791, 1
293.041, 239.545, 1
22.6931, 202.319, 1
-0.877935, 155.695, 1
540.286, 306.049, 0
217.34, 223.916, 1
85.7236, 185.98, 1
34.0367, 202.307, 1
363.797, 108.007, 1
484.825, 165.43, 1
78.2033, 188.984, 1
349.264, 162.632, 1
29.6212, 66.6291, 1
333.1, 162.849, 1
-15.7563, 227.564, 1
482.489, 149.517, 1
321.407, 162.956, 1
406.433, 193.357, 1
28.3697, 158.677, 1
471.234, 166.737, 1
586.047, 309.921, 0
435.864, 175.366, 1
42.8842, 240.448, 1
95.949, 240.419, 1
-6.88731, 216.867, 1
142.138, 183.001, 1
257.474, 205.324, 1
523.149, 168.669, 1
132.394, 211.989, 1
175.616, 217.337, 1
488.471, 179.45, 1
279.786, 196.476, 1
172.585, 237.788, 1
-1.70071, 144.209, 1
25.7319, 236.472, 1
-12.3389, 115.048, 1
494.889, 152.206, 1
74.1888, 178.031, 1
152.732, 222.204, 1
211.177, 238.493, 1
351.749, 186.22, 1
516.239, 179.557, 1
301.432, 143.522, 1
12.359, 204.34, 1
477.527, 301.375, 0
218.577, 202.862, 1
457.62, 194.619, 1
204.324, 191.043, 1
102.116, 157.63, 1
417.03, 169.508, 1
63.1188, 211.683, 1
166.66, 226.656, 1
522.288, 239.653, 1
462.131, 84.0936, 1
415.625, 148.8, 1
30.4986, 141.793, 1
292.246, 179.318, 1
62.0624, 199.414, 1
24.7193, 224.482, 1
506.964, 164.029, 1
167.72, 207.092, 1
403.135, 160.88, 1
59.6038, 241.12, 1
451.389, 73.7481, 1
236.774, 189.565, 1
227.366, 103.578, 1
0.320206, 226.551, 1
448.524, 162.073, 1
474.9, 79.1031, 1
251.816, 172.754, 1
298.475, 170.447, 1
167.001, 180.582, 1
534.526, 239.698, 1
80.7026, 137.807, 1
362.603, 239.655, 1
382.505, 183.092, 1
564.455, 293.464, 0
498.327, 82.4735, 1
412.328, 94.1927, 1
293.034, 239.547, 1
475.541, 303.21, 0
272.204, 205.361, 1
188.986, 238.363, 1
529.164, 186.42, 1
77.7892, 127.041, 1
235.5, 175.306, 1
119.056, 161.406, 1
485.19, 192.218, 1
367.749, 108.638, 1
498.295, 298.295, 0
393.457, 188.505, 1
240.433, 203.458, 1
193.14, 220.023, 1
187.493, 160.138, 1
237.076, 228.737, 1
123.721, 238.643, 1
209.763, 169.875, 1
387.485, 276.87, 0
140.628, 237.843, 1
253.105, 162.896, 1
447.629, 239.687, 1
75.5128, 155.132, 1
392.555, 239.845, 1
172.586, 237.792, 1
360.337, 162.531, 1
453.397, 170.232, 1
589.84, 317.756, 0
475.876, 91.7187, 1
8.01235, 101.452, 1
583.113, 318.541, 0
246.751, 188.31, 1
209.734, 169.872, 1
539.862, 183.115, 1
243.226, 103.157, 1
253.117, 162.894, 1
428.683, 160.619, 1
478.262, 302.949, 0
346.433, 194.678, 1
415.787, 218.253, 1
546.887, 311.724, 0
480.919, 93.3965, 1
301.64, 146.775, 1
461.461, 239.987, 1
353.261, 173.582, 1
153.874, 199.628, 1
209.746, 169.888, 1
520.397, 303.839, 0
475.711, 301.165, 0
493.803, 239.651, 1
570.087, 239.62, 1
425.612, 239.885, 1
335.411, 191.831, 1
178.913, 173.454, 1
22.5801, 213.419, 1
607.481, 305.633, 0
427.822, 99.0433, 1
392.316, 94.7758, 1
92.7921, 172.654, 1
278.492, 147.216, 1
