x, y, value
435.287, 142.083, 1
416.931, 187.923, 1
371.289, 178.792, 1
421.787, 140.627, 1
554.526, 113.466, 1
624.023, 146.638, 1
481.628, 145.232, 1
85.6727, 113.512, 1
364.204, 163.483, 1
436.99, 179.984, 1
83.1639, 184.222, 1
326.253, 221.619, 1
492.872, 154.004, 1
384.589, 194.998, 1
206.669, 171.437, 1
360.278, 178.379, 1
96.4456, 81.5055, 1
538.606, 164.181, 1
521.552, 159.527, 1
207.454, 224.624, 1
114.35, 203.776, 1
624.747, 160.625, 1
116.945, 229.643, 1
161.829, 215.569, 1
537.258, 159.366, 1
324.807, 203.443, 1
207.453, 224.628, 1
456.193, 182.641, 1
482.022, 164.728, 1
290.654, 192.215, 1
371.17, 145.041, 1
199.281, 207.984, 1
190.291, 174.325, 1
100.489, 135.48, 1
95.3846, 95.3577, 1
521.917, 150.205, 1
100.949, 164.602, 1
116.975, 229.638, 1
81.6645, 86.849, 1
64.6817, 102.697, 1
85.6614, 113.497, 1
164.415, 195.541, 1
98.6608, 181.287, 1
81.4634, 169.487, 1
508.257, 156.53, 1
206.662, 171.465, 1
259.356, 193.35, 1
557.602, 152.36, 1
589.542, 151.569, 1
534.617, 119.6, 1
293.249, 207.603, 1
64.0509, 233.264, 1
143.814, 199.108, 1
231.922, 193.955, 1
621.922, 128.187, 1
83.7581, 232.611, 1
88.6284, 208.969, 1
497.686, 175.532, 1
188.129, 195.094, 1
145.262, 222.43, 1
495.271, 166.65, 1
78.6538, 179.727, 1
209.251, 205.513, 1
569.765, 144.183, 1
94.6045, 161.713, 1
583.417, 122.693, 1
336.576, 187.838, 1
564.414, 123.317, 1
512.014, 166.93, 1
67.7921, 60.1035, 1
226.896, 157.651, 1
85.6282, 141.631, 1
252.48, 189.771, 1
286.264, 178.448, 1
531.481, 292.282, 0
157.4, 185.779, 1
447.799, 183.045, 1
58.0053, 207.536, 1
120.378, 190.643, 1
227.611, 178.699, 1
458.292, 153.967, 1
57.5005, 189.071, 1
60.924, 167.257, 1
494.849, 120.084, 1
84.4207, 232.649, 1
214.678, 157.871, 1
100.492, 135.49, 1
98.6786, 181.252, 1
458.286, 153.937, 1
456.702, 141.284, 1
480.706, 178.857, 1
137.016, 211.968, 1
565.382, 123.608, 1
587.803, 151.41, 1
389.928, 155.83, 1
444.118, 125.385, 1
436.989, 179.986, 1
97.6904, 115.488, 1
608.925, 123.296, 1
188.152, 195.089, 1
69.1511, 183.829, 1
208.394, 192.019, 1
462.973, 120.108, 1
516.923, 120.121, 1
64.0669, 233.261, 1
77.6015, 195.392, 1
145.259, 222.44, 1
123.026, 213.099, 1
334.482, 171.298, 1
168.024, 148.309, 1
421.789, 140.624, 1
252.493, 189.714, 1
118.747, 175.055, 1
159.702, 162.908, 1
384.587, 194.996, 1
237.139, 223.684, 1
353.614, 221.246, 1
97.2279, 194.366, 1
71.8082, 149.902, 1
467.667, 295.531, 0
280.163, 208.433, 1
153.617, 176.447, 1
107.282, 193.758, 1
422.158, 83.6208, 1
553.788, 137.641, 1
146.546, 179.426, 1
409.929, 141.441, 1
96.8553, 61.3764, 1
589.089, 290.732, 0
393.583, 142.693, 1
61.4182, 219.713, 1
551.137, 121.248, 1
381.698, 143.164, 1
470.603, 170.233, 1
99.734, 151.898, 1
539.123, 139.749, 1
68.2497, 71.4688, 1
531.535, 291.062, 0
501.577, 150.449, 1
116.943, 229.643, 1
165.097, 228.526, 1
70.4787, 209.675, 1
206.664, 171.458, 1
318.875, 188.552, 1
595.031, 139.812, 1
198.978, 200.107, 1
240.002, 203.789, 1
557.623, 152.34, 1
345.084, 178.353, 1
237.139, 223.681, 1
70.1424, 139.072, 1
101.169, 226.376, 1
60.4015, 113.226, 1
564.411, 123.317, 1
143.105, 169.039, 1
219.093, 209.04, 1
274.143, 222.938, 1
413.426, 165.159, 1
587.806, 151.415, 1
360.438, 126.134, 1
87.8898, 196.72, 1
468.832, 295.013, 0
280.887, 187.784, 1
524.887, 169.335, 1
266.223, 176.639, 1
168.027, 148.3, 1
